local-authority-discovery	local-authority
ESX-UH	local-authority-eng:WLD
LIN-UH	local-authority-eng:WLI
WLL	local-authority-eng:WLL
WLV	local-authority-eng:WLV
WND	local-authority-eng:WND
WNM	local-authority-eng:WNM
SFK-UH	local-authority-eng:WNY
WSX-UH	local-authority-eng:WOB
WOR-UE	local-authority-eng:WOC
WOK	local-authority-eng:WOK
WOR	local-authority-eng:WOR
DOR-UJ	local-authority-eng:WPO
WRL	local-authority-eng:WRL
WRT	local-authority-eng:WRT
WSM	local-authority-eng:WSM
WSX	local-authority-eng:WSX
HRT-UK	local-authority-eng:WTF
SRY-UL	local-authority-eng:WVY
WAR-UF	local-authority-eng:WWK
LAN-UQ	local-authority-eng:WYC
BKM-UF	local-authority-eng:WYD
WOR-UG	local-authority-eng:WYF
WOR-UF	local-authority-eng:WYN
YOR	local-authority-eng:YOR
ABD	local-authority-sct:ABD
ABE	local-authority-sct:ABE
AGB	local-authority-sct:AGB
ANS	local-authority-sct:ANS
CLK	local-authority-sct:CLK
DGY	local-authority-sct:DGY
DND	local-authority-sct:DND
EAY	local-authority-sct:EAY
EDH	local-authority-sct:EDH
EDU	local-authority-sct:EDU
ELN	local-authority-sct:ELN
ELS	local-authority-sct:ELS
ERW	local-authority-sct:ERW
FAL	local-authority-sct:FAL
FIF	local-authority-sct:FIF
GLG	local-authority-sct:GLG
HLD	local-authority-sct:HLD
IVC	local-authority-sct:IVC
MLN	local-authority-sct:MLN
MRY	local-authority-sct:MRY
NAY	local-authority-sct:NAY
NLK	local-authority-sct:NLK
ORK	local-authority-sct:ORK
PKN	local-authority-sct:PKN
RFW	local-authority-sct:RFW
SAY	local-authority-sct:SAY
SCB	local-authority-sct:SCB
SLK	local-authority-sct:SLK
STG	local-authority-sct:STG
WDU	local-authority-sct:WDU
WLN	local-authority-sct:WLN
ZET	local-authority-sct:ZET
ABC	local-authority-nir:ABC
AND	local-authority-nir:AND
ANN	local-authority-nir:ANN
BFS	local-authority-nir:BFS
CCG	local-authority-nir:CCG
DRS	local-authority-nir:DRS
FMO	local-authority-nir:FMO
LBC	local-authority-nir:LBC
MEA	local-authority-nir:MEA
MUL	local-authority-nir:MUL
NMD	local-authority-nir:NMD
NIR-A	local-authority-nir:NIR-A
NIR-B	local-authority-nir:NIR-B
NIR-C	local-authority-nir:NIR-C
NIR-D	local-authority-nir:NIR-D
NIR-E	local-authority-nir:NIR-E
NIR-F	local-authority-nir:NIR-F
NIR-G	local-authority-nir:NIR-G
NIR-H	local-authority-nir:NIR-H
NIR-I	local-authority-nir:NIR-I
NIR-J	local-authority-nir:NIR-J
NIR-K	local-authority-nir:NIR-K
NIR-L	local-authority-nir:NIR-L
NIR-M	local-authority-nir:NIR-M
NIR-N	local-authority-nir:NIR-N
NIR-O	local-authority-nir:NIR-O
NIR-P	local-authority-nir:NIR-P
NIR-Q	local-authority-nir:NIR-Q
NIR-R	local-authority-nir:NIR-R
NIR-S	local-authority-nir:NIR-S
NIR-T	local-authority-nir:NIR-T
NIR-U	local-authority-nir:NIR-U
NIR-V	local-authority-nir:NIR-V
NIR-W	local-authority-nir:NIR-W
NIR-X	local-authority-nir:NIR-X
NIR-Y	local-authority-nir:NIR-Y
AGY	local-authority-wls:AGY
BGE	local-authority-wls:BGE
BGW	local-authority-wls:BGW
CAY	local-authority-wls:CAY
CGN	local-authority-wls:CGN
CMN	local-authority-wls:CMN
CRF	local-authority-wls:CRF
CWY	local-authority-wls:CWY
DEN	local-authority-wls:DEN
FLN	local-authority-wls:FLN
GWN	local-authority-wls:GWN
MON	local-authority-wls:MON
MTY	local-authority-wls:MTY
NTL	local-authority-wls:NTL
NWP	local-authority-wls:NWP
PEM	local-authority-wls:PEM
POW	local-authority-wls:POW
RCT	local-authority-wls:RCT
SWA	local-authority-wls:SWA
TOF	local-authority-wls:TOF
VGL	local-authority-wls:VGL
WRX	local-authority-wls:WRX
