street-custodian	bbox
3435	[-2.21,52.92,-1.78,53.22]
3445	[-1.73,52.59,-1.64,52.65]
3455	[-2.24,52.95,-2.08,53.09]
3505	[0.64,51.95,1.28,52.18]
3510	[0.34,52.20,0.71,52.46]
3515	[1.11,52.02,1.22,52.09]
3520	[0.80,52.07,1.40,52.40]
3525	[0.39,52.06,0.96,52.40]
3530	[1.16,51.93,1.67,52.36]
3535	[1.35,52.31,1.76,52.55]
3605	[-0.48,51.30,-0.31,51.41]
3610	[-0.31,51.30,-0.22,51.38]
3615	[-0.75,51.18,-0.39,51.33]
3620	[-0.43,51.11,-0.18,51.33]
3625	[-0.27,51.16,-0.13,51.34]
3630	[-0.62,51.34,-0.46,51.45]
3635	[-0.54,51.38,-0.38,51.47]
3640	[-0.77,51.28,-0.55,51.39]
3645	[-0.15,51.14,0.06,51.34]
3650	[-0.85,51.07,-0.41,51.24]
3655	[-0.65,51.27,-0.46,51.35]
3705	[-1.79,52.44,-1.47,52.68]
3710	[-1.56,52.45,-1.41,52.55]
3715	[-1.46,52.26,-1.17,52.53]
3720	[-1.96,51.96,-1.23,52.37]
3725	[-1.77,52.22,-1.41,52.39]
3805	[-0.37,50.82,-0.22,50.87]
3810	[-0.76,50.76,-0.38,50.91]
3815	[-0.96,50.72,-0.48,51.09]
3820	[-0.25,51.08,-0.14,51.17]
3825	[-0.57,50.86,-0.21,51.14]
3830	[-0.24,50.87,0.04,51.14]
3835	[-0.45,50.80,-0.33,50.86]
3935	[-1.86,51.48,-1.62,51.69]
3940	[-2.36,50.95,-1.50,51.70]
4205	[-2.62,53.53,-2.34,53.64]
4210	[-2.38,53.51,-2.23,53.67]
4215	[-2.32,53.35,-2.15,53.54]
4220	[-2.18,53.49,-1.97,53.60]
4225	[-2.28,53.53,-2.04,53.68]
4230	[-2.49,53.42,-2.25,53.54]
4235	[-2.25,53.33,-2.00,53.45]
4240	[-2.17,53.43,-1.98,53.53]
4245	[-2.46,53.36,-2.25,53.48]
4250	[-2.73,53.45,-2.42,53.61]
4305	[-2.92,53.35,-2.75,53.50]
4310	[-3.01,53.33,-2.82,53.47]
4315	[-2.82,53.39,-2.58,53.53]
4320	[-3.10,53.44,-2.89,53.68]
4325	[-3.23,53.30,-2.94,53.44]
4405	[-1.78,53.44,-1.28,53.61]
4410	[-1.34,53.41,-0.87,53.66]
4415	[-1.45,53.31,-1.12,53.52]
4420	[-1.73,53.31,-1.33,53.50]
4505	[-1.84,54.88,-1.52,54.98]
4510	[-1.77,54.96,-1.53,55.08]
4515	[-1.64,54.98,-1.53,55.07]
4520	[-1.53,54.93,-1.45,54.98]
4525	[-1.57,54.80,-1.46,54.93]
4605	[-2.03,52.38,-1.75,52.61]
4610	[-1.61,52.37,-1.43,52.46]
4615	[-2.19,52.43,-2.01,52.56]
